Region,Year,Qtr,No_of_Offences,Population_Num,Live_Register_Num,Mean_Disposable_Income,Rent_Rates,CPI_All_Items,CPI_Water_Electricity_Gas,GBP_per_Euro,USD_per_Euro,Sunshine_Hours,Rainfall(mm),At_Risk_of_Poverty_Rate,Consistent_Poverty_Rate,Daily_Internet_Users,Pupils_Finish_Leaving_Cert,Num_Practising_Religion,GardaÕ_Num,Marriages_Num,Government_Party,Tobacco_gm_per_capita,Alcohol_ltr_per_capita,Pop_In_Good_Health
Western,2007,2,6674,623200,46145,41105,934.56,4.9,20.4,0.6756,1.3419,616.1,184.5,18.8,3.1,27,84.6,,16776,5558,Fianna Fàil,1605,13.2,84
Western,2007,3,7216,623200,50135,41105,343.09,4.9,20.4,0.6889,1.3896,497.6,245.7,18.8,3.1,27,84.6,,16776,8949,Fianna Fàil,1605,13.2,84
Western,2007,4,6702,623200,47096,41105,937.71,4.9,20.4,0.7206,1.457,192.3,264.6,18.8,3.1,27,84.6,,16776,4848,Fianna Fàil,1605,13.2,84
Western,2008,1,6801,631300,54800,41215,905.61,4.1,9.6,0.7749,1.5527,245,384.8,17.2,4.2,34,87,,17799,3228,Fianna Fàil,1439,12.2,84.3
Western,2008,2,7085,631300,59729,41215,889.36,4.1,9.6,0.7915,1.5553,593.4,195.9,17.2,4.2,34,87,,17799,5351,Fianna Fàil,1439,12.2,84.3
Western,2008,3,7255,631300,70407,41215,881.06,4.1,9.6,0.7992,1.437,377,363.8,17.2,4.2,34,87,,17799,8751,Fianna Fàil,1439,12.2,84.3
Western,2008,4,6991,631300,77841,41215,859.8,4.1,9.6,0.9045,1.3449,234.2,323.7,17.2,4.2,34,87,,17799,4857,Fianna Fàil,1439,12.2,84.3
Western,2009,1,6449,638100,100042,40004,842.06,-4.5,-22,0.9197,1.305,263.1,200.1,14.1,5.7,40,,,17579,3450,Fianna Fàil,1360,11,83.1
Western,2009,2,7075,638100,111816,40004,830.31,-4.5,-22,0.8567,1.4016,647.6,248.2,14.1,5.7,40,,,17579,5432,Fianna Fàil,1360,11,83.1
Western,2009,3,7233,638100,122578,40004,819.05,-4.5,-22,0.8914,1.4562,478.5,292.3,14.1,5.7,40,,,17579,8047,Fianna Fàil,1360,11,83.1
Western,2009,4,6399,638100,116076,40004,792.61,-4.5,-22,0.8997,1.4614,252.3,422.9,14.1,5.7,40,,,17579,4698,Fianna Fàil,1360,11,83.1
Western,2010,1,6330,638400,121848,39398,779.39,-1,1.3,0.9016,1.3569,344.6,147.8,12.1,2.8,48,,,16544,3372,Fianna Fàil,1226,11.6,82.8
Western,2010,2,6626,638400,121933,39398,773.52,-1,1.3,0.8277,1.2209,649.5,163.3,12.1,2.8,48,,,16544,4993,Fianna Fàil,1226,11.6,82.8
Western,2010,3,6497,638400,127675,39398,769.07,-1,1.3,0.8399,1.3067,435.5,298.8,12.1,2.8,48,,,16544,7774,Fianna Fàil,1226,11.6,82.8
Western,2010,4,5747,638400,118751,39398,758.54,-1,1.3,0.8481,1.322,255.6,235.2,12.1,2.8,48,,,16544,4455,Fianna Fàil,1226,11.6,82.8
Western,2011,1,5488,640800,123038,39029,749.24,2.6,9.7,0.8665,1.3999,316.3,257.8,19.9,5.6,54,,542547,16843,3047,Fine Gael,1241,11.7,83.2
Western,2011,2,5392,640800,123585,39029,748.4,2.6,9.7,0.8875,1.4388,574.9,247.6,19.9,5.6,54,,542547,16843,5015,Fine Gael,1241,11.7,83.2
Western,2011,3,5714,640800,126911,39029,753.65,2.6,9.7,0.8717,1.377,332.1,176.9,19.9,5.6,54,,542547,16843,7532,Fine Gael,1241,11.7,83.2
Western,2011,4,5234,640800,117644,39029,750.05,2.6,9.7,0.8441,1.3179,170.7,330.9,19.9,5.6,54,,542547,16843,4261,Fine Gael,1241,11.7,83.2
Western,2012,1,5282,637500,119303,36785,747.2,1.7,0.6,0.8345,1.3201,259.8,225.5,17,6.9,56,,,16843,2812,Fine Gael,1163,11.5,82.7
Western,2012,2,5610,637500,117915,36785,748.78,1.7,0.6,0.8058,1.2526,549.3,283.9,17,6.9,56,,,16843,5411,Fine Gael,1163,11.5,82.7
Western,2012,3,5294,637500,122434,36785,776.41,1.7,0.6,0.7982,1.2856,389.4,263.8,17,6.9,56,,,16843,7712,Fine Gael,1163,11.5,82.7
Western,2012,4,5272,637500,114886,36785,769.1,1.7,0.6,0.8124,1.3119,209.4,322,17,6.9,56,,,16843,4778,Fine Gael,1163,11.5,82.7
Western,2013,1,4686,637900,117724,35158,763.3,0.5,0.7,0.86,1.2964,238.1,185.1,18.6,9,57,91.3,,16328,3642,Fine Gael,1026,10.6,82
Western,2013,2,4942,637900,116588,35158,765.48,0.5,0.7,0.8519,1.3189,466.3,195.3,18.6,9,57,91.3,,16328,5444,Fine Gael,1026,10.6,82
Western,2013,3,5272,637900,117687,35158,770.49,0.5,0.7,0.8417,1.3348,396.9,173.9,18.6,9,57,91.3,,16328,7760,Fine Gael,1026,10.6,82
Western,2013,4,4702,637900,107645,35158,765.04,0.5,0.7,0.8364,1.3704,210.5,378.4,18.6,9,57,91.3,,16328,4924,Fine Gael,1026,10.6,82
Western,2014,1,4809,637100,108311,37045,764.11,0.2,0,0.8317,1.3823,208,456.6,20.9,8.6,60,,,16329,3624,Fine Gael,982,11,82.5
Western,2014,2,4608,637100,106727,37045,770.9,0.2,0,0.8041,1.3592,526.9,169.1,20.9,8.6,60,,,16329,5567,Fine Gael,982,11,82.5
Western,2014,3,4807,637100,106089,37045,792.1,0.2,0,0.7911,1.2901,413.5,199.6,20.9,8.6,60,,,16329,8048,Fine Gael,982,11,82.5
Western,2014,4,4664,637100,96802,37045,791.26,0.2,0,0.7883,1.2331,202.6,347.7,20.9,8.6,60,,,16329,4956,Fine Gael,982,11,82.5
Eastern,2007,1,9033,623200,45926,41105,925.15,4.9,20.4,0.6802,1.3242,290.8,224.2,18.8,3.1,27,84.6,,16776,3401,Fianna Fàil,1605,13.2,84
Eastern,2007,2,9119,623200,46145,41105,934.56,4.9,20.4,0.6756,1.3419,616.1,184.5,18.8,3.1,27,84.6,,16776,5558,Fianna Fàil,1605,13.2,84
Eastern,2007,3,10284,623200,50135,41105,343.09,4.9,20.4,0.6889,1.3896,497.6,245.7,18.8,3.1,27,84.6,,16776,8949,Fianna Fàil,1605,13.2,84
Eastern,2007,4,9998,623200,47096,41105,937.71,4.9,20.4,0.7206,1.457,192.3,264.6,18.8,3.1,27,84.6,,16776,4848,Fianna Fàil,1605,13.2,84
Eastern,2008,1,9380,631300,54800,41215,905.61,4.1,9.6,0.7749,1.5527,245,384.8,17.2,4.2,34,87,,17799,3228,Fianna Fàil,1439,12.2,84.3
Eastern,2008,2,9782,631300,59729,41215,889.36,4.1,9.6,0.7915,1.5553,593.4,195.9,17.2,4.2,34,87,,17799,5351,Fianna Fàil,1439,12.2,84.3
Eastern,2008,3,10515,631300,70407,41215,881.06,4.1,9.6,0.7992,1.437,377,363.8,17.2,4.2,34,87,,17799,8751,Fianna Fàil,1439,12.2,84.3
Eastern,2008,4,9966,631300,77841,41215,859.8,4.1,9.6,0.9045,1.3449,234.2,323.7,17.2,4.2,34,87,,17799,4857,Fianna Fàil,1439,12.2,84.3
Eastern,2009,1,9752,638100,100042,40004,842.06,-4.5,-22,0.9197,1.305,263.1,200.1,14.1,5.7,40,,,17579,3450,Fianna Fàil,1360,11,83.1
