Region,Crime_Type,Year,Qtr,No_of_Offences,Population_Num,Live_Register_Num,Mean_Disposable_Income,Rent_Rates,CPI_All_Items,CPI_Water_Electricity_Gas,GBP_per_Euro,USD_per_Euro,Sunshine_Hours,Rainfall(mm),At_Risk_of_Poverty_Rate,Consistent_Poverty_Rate,Daily_Internet_Users,Pupils_Finish_Leaving_Cert,Num_Practising_Religion,Garda’_Num,Marriages_Num,Government_Party,Tobacco_gm_per_capita,Alcohol_ltr_per_capita,Pop_In_Good_Health
Northern,"Attempts/threats to murder, assaults, harassments and related offences",2012,3,551,510900,191256,30186,458.11,1.7,0.6,0.7982,1.2856,404.5,317.8,24.5,12.7,50,,,16843,7712,Fine Gael,1163,11.5,82.7
Northern,"Attempts/threats to murder, assaults, harassments and related offences",2012,4,517,510900,177839,30186,453.02,1.7,0.6,0.8124,1.3119,190.2,360.9,24.5,12.7,50,,,16843,4778,Fine Gael,1163,11.5,82.7
Northern,"Attempts/threats to murder, assaults, harassments and related offences",2013,1,475,509600,180616,31936,447.92,0.5,0.7,0.86,1.2964,252.1,275.5,25.4,18.5,51,90.1,,16328,3642,Fine Gael,1026,10.6,82
Northern,"Attempts/threats to murder, assaults, harassments and related offences",2013,2,493,509600,179821,31936,445.38,0.5,0.7,0.8519,1.3189,529.6,249.8,25.4,18.5,51,90.1,,16328,5444,Fine Gael,1026,10.6,82
Northern,"Attempts/threats to murder, assaults, harassments and related offences",2013,3,524,509600,182798,31936,444.2,0.5,0.7,0.8417,1.3348,386.1,218.7,25.4,18.5,51,90.1,,16328,7760,Fine Gael,1026,10.6,82
Northern,"Attempts/threats to murder, assaults, harassments and related offences",2013,4,417,509600,167366,31936,442.04,0.5,0.7,0.8364,1.3704,187.1,384.1,25.4,18.5,51,90.1,,16328,4924,Fine Gael,1026,10.6,82
Northern,"Attempts/threats to murder, assaults, harassments and related offences",2014,1,455,503900,167658,33490,438.26,0.2,0,0.8317,1.3823,257.4,428.3,22.5,14.2,55,,,16329,3624,Fine Gael,982,11,82.5
Northern,"Attempts/threats to murder, assaults, harassments and related offences",2014,2,543,503900,167114,33490,436.58,0.2,0,0.8041,1.3592,561.2,164.2,22.5,14.2,55,,,16329,5567,Fine Gael,982,11,82.5
Northern,"Attempts/threats to murder, assaults, harassments and related offences",2014,3,513,503900,167903,33490,440.74,0.2,0,0.7911,1.2901,554.3,205.2,22.5,14.2,55,,,16329,8048,Fine Gael,982,11,82.5
Northern,"Attempts/threats to murder, assaults, harassments and related offences",2014,4,548,503900,153033,33490,439.72,0.2,0,0.7883,1.2331,170.9,417.3,22.5,14.2,55,,,16329,4956,Fine Gael,982,11,82.5
Northern,"Attempts/threats to murder, assaults, harassments and related offences",2015,1,493,496000,151980,,442.17,-0.3,1.5,0.7236,1.0838,205.9,386.8,,,60,,,15947,3665,Fine Gael,,,
Northern,"Attempts/threats to murder, assaults, harassments and related offences",2015,2,490,496000,149030,,446.69,-0.3,1.5,0.7208,1.1213,522.7,254.2,,,60,,,15947,5516,Fine Gael,,,
Northern,"Attempts/threats to murder, assaults, harassments and related offences",2015,3,599,496000,151618,,456.21,-0.3,1.5,0.7313,1.1221,344.7,273.5,,,60,,,15947,8248,Fine Gael,,,
Northern,"Attempts/threats to murder, assaults, harassments and related offences",2015,4,527,496000,137101,,462,-0.3,1.5,0.726,1.0877,173.6,567.5,,,60,,,15947,4857,Fine Gael,,,
Northern,Dangerous or negligent acts,2003,1,389,439600,76927,,,3.5,-0.5,0.6825,1.0807,303.6,177.3,,,,81.1,246714,13504,2571,Fianna F‡il,2076,13.5,
Northern,Dangerous or negligent acts,2003,2,456,439600,78418,,,3.5,-0.5,0.7022,1.1663,534.9,207.1,,,,81.1,246714,13504,4827,Fianna F‡il,2076,13.5,
Northern,Dangerous or negligent acts,2003,3,459,439600,82115,,,3.5,-0.5,0.6969,1.1222,406.1,190.9,,,,81.1,246714,13504,7996,Fianna F‡il,2076,13.5,
Northern,Dangerous or negligent acts,2003,4,507,439600,76250,,,3.5,-0.5,0.702,1.2286,189.3,268.4,,,,81.1,246714,13504,4908,Fianna F‡il,2076,13.5,
Northern,Dangerous or negligent acts,2004,1,419,449800,77956,34756,,2.2,4.3,0.6712,1.2262,264.8,256.2,30.2,12.1,,82.6,,13796,2676,Fianna F‡il,1730,13.6,82.8
Northern,Dangerous or negligent acts,2004,2,436,449800,75067,34756,,2.2,4.3,0.6643,1.2138,509.1,218.4,30.2,12.1,,82.6,,13796,4719,Fianna F‡il,1730,13.6,82.8
Northern,Dangerous or negligent acts,2004,3,471,449800,77614,34756,,2.2,4.3,0.6813,1.2218,393.5,315.5,30.2,12.1,,82.6,,13796,8168,Fianna F‡il,1730,13.6,82.8
Northern,Dangerous or negligent acts,2004,4,497,449800,69803,34756,,2.2,4.3,0.695,1.3408,141.7,348.8,30.2,12.1,,82.6,,13796,5056,Fianna F‡il,1730,13.6,82.8
Northern,Dangerous or negligent acts,2005,1,464,457500,71688,38016,,2.5,10.4,0.6923,1.3201,203.5,279.5,29.1,13.2,,83.1,,13910,2909,Fianna F‡il,1737,13.4,82.7
Northern,Dangerous or negligent acts,2005,2,552,457500,68817,38016,,2.5,10.4,0.669,1.2165,488.7,239.3,29.1,13.2,,83.1,,13910,5130,Fianna F‡il,1737,13.4,82.7
Northern,Dangerous or negligent acts,2005,3,548,457500,72136,38016,,2.5,10.4,0.6776,1.2256,335.6,246.3,29.1,13.2,,83.1,,13910,8220,Fianna F‡il,1737,13.4,82.7
Northern,Dangerous or negligent acts,2005,4,707,457500,65672,38016,,2.5,10.4,0.6792,1.1856,175.6,321,29.1,13.2,,83.1,,13910,4464,Fianna F‡il,1737,13.4,82.7
Northern,Dangerous or negligent acts,2006,1,586,469800,68700,32977,,4,16.1,0.6893,1.202,242.9,215.4,28.2,10,,82.3,267264,14969,3267,Fianna F‡il,1721,13.4,83.1
Northern,Dangerous or negligent acts,2006,2,786,469800,68269,32977,,4,16.1,0.6866,1.265,601.2,206.6,28.2,10,,82.3,267264,14969,5094,Fianna F‡il,1721,13.4,83.1
Northern,Dangerous or negligent acts,2006,3,810,469800,71092,32977,,4,16.1,0.6751,1.2727,393.3,259.9,28.2,10,,82.3,267264,14969,8341,Fianna F‡il,1721,13.4,83.1
Northern,Dangerous or negligent acts,2006,4,924,469800,65724,32977,,4,16.1,0.6729,1.3213,192.6,478.8,28.2,10,,82.3,267264,14969,4139,Fianna F‡il,1721,13.4,83.1
Northern,Dangerous or negligent acts,2007,1,775,483900,69252,40180,558.45,4.9,20.4,0.6802,1.3242,241.7,290.5,21.7,8.4,19,83.8,,16776,3401,Fianna F‡il,1605,13.2,84
Northern,Dangerous or negligent acts,2007,2,879,483900,69030,40180,561.2,4.9,20.4,0.6756,1.3419,642.3,217.7,21.7,8.4,19,83.8,,16776,5558,Fianna F‡il,1605,13.2,84
Northern,Dangerous or negligent acts,2007,3,832,483900,73046,40180,556.81,4.9,20.4,0.6889,1.3896,439.1,271.1,21.7,8.4,19,83.8,,16776,8949,Fianna F‡il,1605,13.2,84
Northern,Dangerous or negligent acts,2007,4,740,483900,70325,40180,568.73,4.9,20.4,0.7206,1.457,144.3,288.5,21.7,8.4,19,83.8,,16776,4848,Fianna F‡il,1605,13.2,84
Northern,Dangerous or negligent acts,2008,1,703,496500,82216,41512,573.34,4.1,9.6,0.7749,1.5527,220.5,421.2,16.5,4.8,22,85.6,,17799,3228,Fianna F‡il,1439,12.2,84.3
Northern,Dangerous or negligent acts,2008,2,737,496500,89612,41512,576.92,4.1,9.6,0.7915,1.5553,639.4,136.4,16.5,4.8,22,85.6,,17799,5351,Fianna F‡il,1439,12.2,84.3
Northern,Dangerous or negligent acts,2008,3,656,496500,105227,41512,567.27,4.1,9.6,0.7992,1.437,345.8,338.9,16.5,4.8,22,85.6,,17799,8751,Fianna F‡il,1439,12.2,84.3
Northern,Dangerous or negligent acts,2008,4,681,496500,117909,41512,564.74,4.1,9.6,0.9045,1.3449,166.8,346.1,16.5,4.8,22,85.6,,17799,4857,Fianna F‡il,1439,12.2,84.3
Northern,Dangerous or negligent acts,2009,1,628,508200,151440,38247,555.15,-4.5,-22,0.9197,1.305,223.5,226.8,14.1,5.4,27,,,17579,3450,Fianna F‡il,1360,11,83.1
Northern,Dangerous or negligent acts,2009,2,597,508200,168537,38247,543.46,-4.5,-22,0.8567,1.4016,660.5,239.2,14.1,5.4,27,,,17579,5432,Fianna F‡il,1360,11,83.1
Northern,Dangerous or negligent acts,2009,3,547,508200,180784,38247,534.37,-4.5,-22,0.8914,1.4562,445.9,307.5,14.1,5.4,27,,,17579,8047,Fianna F‡il,1360,11,83.1
Northern,Dangerous or negligent acts,2009,4,422,508200,175043,38247,531.63,-4.5,-22,0.8997,1.4614,174.8,393.2,14.1,5.4,27,,,17579,4698,Fianna F‡il,1360,11,83.1
Northern,Dangerous or negligent acts,2010,1,435,511500,183377,38538,524.4,-1,1.3,0.9016,1.3569,277.4,238.7,13.7,7.4,33,,,16544,3372,Fianna F‡il,1226,11.6,82.8
Northern,Dangerous or negligent acts,2010,2,404,511500,186545,38538,516.53,-1,1.3,0.8277,1.2209,572.5,147.5,13.7,7.4,33,,,16544,4993,Fianna F‡il,1226,11.6,82.8
Northern,Dangerous or negligent acts,2010,3,394,511500,194227,38538,510.16,-1,1.3,0.8399,1.3067,400.1,339.6,13.7,7.4,33,,,16544,7774,Fianna F‡il,1226,11.6,82.8
Northern,Dangerous or negligent acts,2010,4,351,511500,182548,38538,500.73,-1,1.3,0.8481,1.322,213.4,254.4,13.7,7.4,33,,,16544,4455,Fianna F‡il,1226,11.6,82.8
Northern,Dangerous or negligent acts,2011,1,365,515500,187478,34091,489.3,2.6,9.7,0.8665,1.3999,273.8,252.7,19.8,9.7,40,,294803,16843,3047,Fine Gael,1241,11.7,83.2
Northern,Dangerous or negligent acts,2011,2,337,515500,189655,34091,482.37,2.6,9.7,0.8875,1.4388,553.6,251.1,19.8,9.7,40,,294803,16843,5015,Fine Gael,1241,11.7,83.2
Northern,Dangerous or negligent acts,2011,3,317,515500,195648,34091,478.97,2.6,9.7,0.8717,1.377,365.9,261.9,19.8,9.7,40,,294803,16843,7532,Fine Gael,1241,11.7,83.2
Northern,Dangerous or negligent acts,2011,4,287,515500,182981,34091,472.85,2.6,9.7,0.8441,1.3179,153.4,465.6,19.8,9.7,40,,294803,16843,4261,Fine Gael,1241,11.7,83.2
Northern,Dangerous or negligent acts,2012,1,278,510900,184989,30186,465.75,1.7,0.6,0.8345,1.3201,284.5,287.1,24.5,12.7,50,,,16843,2812,Fine Gael,1163,11.5,82.7
Northern,Dangerous or negligent acts,2012,2,276,510900,186071,30186,461.9,1.7,0.6,0.8058,1.2526,552.1,238.7,24.5,12.7,50,,,16843,5411,Fine Gael,1163,11.5,82.7
Northern,Dangerous or negligent acts,2012,3,318,510900,191256,30186,458.11,1.7,0.6,0.7982,1.2856,404.5,317.8,24.5,12.7,50,,,16843,7712,Fine Gael,1163,11.5,82.7
Northern,Dangerous or negligent acts,2012,4,295,510900,177839,30186,453.02,1.7,0.6,0.8124,1.3119,190.2,360.9,24.5,12.7,50,,,16843,4778,Fine Gael,1163,11.5,82.7
Northern,Dangerous or negligent acts,2013,1,255,509600,180616,31936,447.92,0.5,0.7,0.86,1.2964,252.1,275.5,25.4,18.5,51,90.1,,16328,3642,Fine Gael,1026,10.6,82
Northern,Dangerous or negligent acts,2013,2,245,509600,179821,31936,445.38,0.5,0.7,0.8519,1.3189,529.6,249.8,25.4,18.5,51,90.1,,16328,5444,Fine Gael,1026,10.6,82
Northern,Dangerous or negligent acts,2013,3,220,509600,182798,31936,444.2,0.5,0.7,0.8417,1.3348,386.1,218.7,25.4,18.5,51,90.1,,16328,7760,Fine Gael,1026,10.6,82
Northern,Dangerous or negligent acts,2013,4,235,509600,167366,31936,442.04,0.5,0.7,0.8364,1.3704,187.1,384.1,25.4,18.5,51,90.1,,16328,4924,Fine Gael,1026,10.6,82
Northern,Dangerous or negligent acts,2014,1,243,503900,167658,33490,438.26,0.2,0,0.8317,1.3823,257.4,428.3,22.5,14.2,55,,,16329,3624,Fine Gael,982,11,82.5
Northern,Dangerous or negligent acts,2014,2,230,503900,167114,33490,436.58,0.2,0,0.8041,1.3592,561.2,164.2,22.5,14.2,55,,,16329,5567,Fine Gael,982,11,82.5
Northern,Dangerous or negligent acts,2014,3,222,503900,167903,33490,440.74,0.2,0,0.7911,1.2901,554.3,205.2,22.5,14.2,55,,,16329,8048,Fine Gael,982,11,82.5
Northern,Dangerous or negligent acts,2014,4,255,503900,153033,33490,439.72,0.2,0,0.7883,1.2331,170.9,417.3,22.5,14.2,55,,,16329,4956,Fine Gael,982,11,82.5
Northern,Dangerous or negligent acts,2015,1,209,496000,151980,,442.17,-0.3,1.5,0.7236,1.0838,205.9,386.8,,,60,,,15947,3665,Fine Gael,,,
Northern,Dangerous or negligent acts,2015,2,225,496000,149030,,446.69,-0.3,1.5,0.7208,1.1213,522.7,254.2,,,60,,,15947,5516,Fine Gael,,,
Northern,Dangerous or negligent acts,2015,3,245,496000,151618,,456.21,-0.3,1.5,0.7313,1.1221,344.7,273.5,,,60,,,15947,8248,Fine Gael,,,
Northern,Dangerous or negligent acts,2015,4,279,496000,137101,,462,-0.3,1.5,0.726,1.0877,173.6,567.5,,,60,,,15947,4857,Fine Gael,,,
Northern,Kidnapping and related offences,2003,1,0,439600,76927,,,3.5,-0.5,0.6825,1.0807,303.6,177.3,,,,81.1,246714,13504,2571,Fianna F‡il,2076,13.5,
Northern,Kidnapping and related offences,2003,2,1,439600,78418,,,3.5,-0.5,0.7022,1.1663,534.9,207.1,,,,81.1,246714,13504,4827,Fianna F‡il,2076,13.5,
Northern,Kidnapping and related offences,2003,3,2,439600,82115,,,3.5,-0.5,0.6969,1.1222,406.1,190.9,,,,81.1,246714,13504,7996,Fianna F‡il,2076,13.5,
Northern,Kidnapping and related offences,2003,4,0,439600,76250,,,3.5,-0.5,0.702,1.2286,189.3,268.4,,,,81.1,246714,13504,4908,Fianna F‡il,2076,13.5,
Northern,Kidnapping and related offences,2004,1,1,449800,77956,34756,,2.2,4.3,0.6712,1.2262,264.8,256.2,30.2,12.1,,82.6,,13796,2676,Fianna F‡il,1730,13.6,82.8
Northern,Kidnapping and related offences,2004,2,1,449800,75067,34756,,2.2,4.3,0.6643,1.2138,509.1,218.4,30.2,12.1,,82.6,,13796,4719,Fianna F‡il,1730,13.6,82.8
Northern,Kidnapping and related offences,2004,3,3,449800,77614,34756,,2.2,4.3,0.6813,1.2218,393.5,315.5,30.2,12.1,,82.6,,13796,8168,Fianna F‡il,1730,13.6,82.8
Northern,Kidnapping and related offences,2004,4,3,449800,69803,34756,,2.2,4.3,0.695,1.3408,141.7,348.8,30.2,12.1,,82.6,,13796,5056,Fianna F‡il,1730,13.6,82.8
Northern,Kidnapping and related offences,2005,1,1,457500,71688,38016,,2.5,10.4,0.6923,1.3201,203.5,279.5,29.1,13.2,,83.1,,13910,2909,Fianna F‡il,1737,13.4,82.7
Northern,Kidnapping and related offences,2005,2,2,457500,68817,38016,,2.5,10.4,0.669,1.2165,488.7,239.3,29.1,13.2,,83.1,,13910,5130,Fianna F‡il,1737,13.4,82.7
Northern,Kidnapping and related offences,2005,3,1,457500,72136,38016,,2.5,10.4,0.6776,1.2256,335.6,246.3,29.1,13.2,,83.1,,13910,8220,Fianna F‡il,1737,13.4,82.7
Northern,Kidnapping and related offences,2005,4,1,457500,65672,38016,,2.5,10.4,0.6792,1.1856,175.6,321,29.1,13.2,,83.1,,13910,4464,Fianna F‡il,1737,13.4,82.7
Northern,Kidnapping and related offences,2006,1,3,469800,68700,32977,,4,16.1,0.6893,1.202,242.9,215.4,28.2,10,,82.3,267264,14969,3267,Fianna F‡il,1721,13.4,83.1
Northern,Kidnapping and related offences,2006,2,1,469800,68269,32977,,4,16.1,0.6866,1.265,601.2,206.6,28.2,10,,82.3,267264,14969,5094,Fianna F‡il,1721,13.4,83.1
Northern,Kidnapping and related offences,2006,3,5,469800,71092,32977,,4,16.1,0.6751,1.2727,393.3,259.9,28.2,10,,82.3,267264,14969,8341,Fianna F‡il,1721,13.4,83.1
Northern,Kidnapping and related offences,2006,4,4,469800,65724,32977,,4,16.1,0.6729,1.3213,192.6,478.8,28.2,10,,82.3,267264,14969,4139,Fianna F‡il,1721,13.4,83.1
Northern,Kidnapping and related offences,2007,1,6,483900,69252,40180,558.45,4.9,20.4,0.6802,1.3242,241.7,290.5,21.7,8.4,19,83.8,,16776,3401,Fianna F‡il,1605,13.2,84
Northern,Kidnapping and related offences,2007,2,5,483900,69030,40180,561.2,4.9,20.4,0.6756,1.3419,642.3,217.7,21.7,8.4,19,83.8,,16776,5558,Fianna F‡il,1605,13.2,84
Northern,Kidnapping and related offences,2007,3,4,483900,73046,40180,556.81,4.9,20.4,0.6889,1.3896,439.1,271.1,21.7,8.4,19,83.8,,16776,8949,Fianna F‡il,1605,13.2,84
Northern,Kidnapping and related offences,2007,4,3,483900,70325,40180,568.73,4.9,20.4,0.7206,1.457,144.3,288.5,21.7,8.4,19,83.8,,16776,4848,Fianna F‡il,1605,13.2,84
Northern,Kidnapping and related offences,2008,1,2,496500,82216,41512,573.34,4.1,9.6,0.7749,1.5527,220.5,421.2,16.5,4.8,22,85.6,,17799,3228,Fianna F‡il,1439,12.2,84.3
Northern,Kidnapping and related offences,2008,2,6,496500,89612,41512,576.92,4.1,9.6,0.7915,1.5553,639.4,136.4,16.5,4.8,22,85.6,,17799,5351,Fianna F‡il,1439,12.2,84.3
Northern,Kidnapping and related offences,2008,3,0,496500,105227,41512,567.27,4.1,9.6,0.7992,1.437,345.8,338.9,16.5,4.8,22,85.6,,17799,8751,Fianna F‡il,1439,12.2,84.3
Northern,Kidnapping and related offences,2008,4,4,496500,117909,41512,564.74,4.1,9.6,0.9045,1.3449,166.8,346.1,16.5,4.8,22,85.6,,17799,4857,Fianna F‡il,1439,12.2,84.3
Northern,Kidnapping and related offences,2009,1,5,508200,151440,38247,555.15,-4.5,-22,0.9197,1.305,223.5,226.8,14.1,5.4,27,,,17579,3450,Fianna F‡il,1360,11,83.1
Northern,Kidnapping and related offences,2009,2,3,508200,168537,38247,543.46,-4.5,-22,0.8567,1.4016,660.5,239.2,14.1,5.4,27,,,17579,5432,Fianna F‡il,1360,11,83.1
Northern,Kidnapping and related offences,2009,3,4,508200,180784,38247,534.37,-4.5,-22,0.8914,1.4562,445.9,307.5,14.1,5.4,27,,,17579,8047,Fianna F‡il,1360,11,83.1
Northern,Kidnapping and related offences,2009,4,1,508200,175043,38247,531.63,-4.5,-22,0.8997,1.4614,174.8,393.2,14.1,5.4,27,,,17579,4698,Fianna F‡il,1360,11,83.1
Northern,Kidnapping and related offences,2010,1,2,511500,183377,38538,524.4,-1,1.3,0.9016,1.3569,277.4,238.7,13.7,7.4,33,,,16544,3372,Fianna F‡il,1226,11.6,82.8
Northern,Kidnapping and related offences,2010,2,4,511500,186545,38538,516.53,-1,1.3,0.8277,1.2209,572.5,147.5,13.7,7.4,33,,,16544,4993,Fianna F‡il,1226,11.6,82.8
Northern,Kidnapping and related offences,2010,3,2,511500,194227,38538,510.16,-1,1.3,0.8399,1.3067,400.1,339.6,13.7,7.4,33,,,16544,7774,Fianna F‡il,1226,11.6,82.8
Northern,Kidnapping and related offences,2010,4,6,511500,182548,38538,500.73,-1,1.3,0.8481,1.322,213.4,254.4,13.7,7.4,33,,,16544,4455,Fianna F‡il,1226,11.6,82.8
Northern,Kidnapping and related offences,2011,1,1,515500,187478,34091,489.3,2.6,9.7,0.8665,1.3999,273.8,252.7,19.8,9.7,40,,294803,16843,3047,Fine Gael,1241,11.7,83.2
Northern,Kidnapping and related offences,2011,2,3,515500,189655,34091,482.37,2.6,9.7,0.8875,1.4388,553.6,251.1,19.8,9.7,40,,294803,16843,5015,Fine Gael,1241,11.7,83.2
Northern,Kidnapping and related offences,2011,3,9,515500,195648,34091,478.97,2.6,9.7,0.8717,1.377,365.9,261.9,19.8,9.7,40,,294803,16843,7532,Fine Gael,1241,11.7,83.2
Northern,Kidnapping and related offences,2011,4,4,515500,182981,34091,472.85,2.6,9.7,0.8441,1.3179,153.4,465.6,19.8,9.7,40,,294803,16843,4261,Fine Gael,1241,11.7,83.2
Northern,Kidnapping and related offences,2012,1,1,510900,184989,30186,465.75,1.7,0.6,0.8345,1.3201,284.5,287.1,24.5,12.7,50,,,16843,2812,Fine Gael,1163,11.5,82.7
Northern,Kidnapping and related offences,2012,2,0,510900,186071,30186,461.9,1.7,0.6,0.8058,1.2526,552.1,238.7,24.5,12.7,50,,,16843,5411,Fine Gael,1163,11.5,82.7
Northern,Kidnapping and related offences,2012,3,3,510900,191256,30186,458.11,1.7,0.6,0.7982,1.2856,404.5,317.8,24.5,12.7,50,,,16843,7712,Fine Gael,1163,11.5,82.7
Northern,Kidnapping and related offences,2012,4,2,510900,177839,30186,453.02,1.7,0.6,0.8124,1.3119,190.2,360.9,24.5,12.7,50,,,16843,4778,Fine Gael,1163,11.5,82.7
Northern,Kidnapping and related offences,2013,1,6,509600,180616,31936,447.92,0.5,0.7,0.86,1.2964,252.1,275.5,25.4,18.5,51,90.1,,16328,3642,Fine Gael,1026,10.6,82
Northern,Kidnapping and related offences,2013,2,0,509600,179821,31936,445.38,0.5,0.7,0.8519,1.3189,529.6,249.8,25.4,18.5,51,90.1,,16328,5444,Fine Gael,1026,10.6,82
Northern,Kidnapping and related offences,2013,3,7,509600,182798,31936,444.2,0.5,0.7,0.8417,1.3348,386.1,218.7,25.4,18.5,51,90.1,,16328,7760,Fine Gael,1026,10.6,82
Northern,Kidnapping and related offences,2013,4,9,509600,167366,31936,442.04,0.5,0.7,0.8364,1.3704,187.1,384.1,25.4,18.5,51,90.1,,16328,4924,Fine Gael,1026,10.6,82
Northern,Kidnapping and related offences,2014,1,2,503900,167658,33490,438.26,0.2,0,0.8317,1.3823,257.4,428.3,22.5,14.2,55,,,16329,3624,Fine Gael,982,11,82.5
Northern,Kidnapping and related offences,2014,2,5,503900,167114,33490,436.58,0.2,0,0.8041,1.3592,561.2,164.2,22.5,14.2,55,,,16329,5567,Fine Gael,982,11,82.5
Northern,Kidnapping and related offences,2014,3,7,503900,167903,33490,440.74,0.2,0,0.7911,1.2901,554.3,205.2,22.5,14.2,55,,,16329,8048,Fine Gael,982,11,82.5
Northern,Kidnapping and related offences,2014,4,1,503900,153033,33490,439.72,0.2,0,0.7883,1.2331,170.9,417.3,22.5,14.2,55,,,16329,4956,Fine Gael,982,11,82.5
Northern,Kidnapping and related offences,2015,1,6,496000,151980,,442.17,-0.3,1.5,0.7236,1.0838,205.9,386.8,,,60,,,15947,3665,Fine Gael,,,
Northern,Kidnapping and related offences,2015,2,3,496000,149030,,446.69,-0.3,1.5,0.7208,1.1213,522.7,254.2,,,60,,,15947,5516,Fine Gael,,,
Northern,Kidnapping and related offences,2015,3,5,496000,151618,,456.21,-0.3,1.5,0.7313,1.1221,344.7,273.5,,,60,,,15947,8248,Fine Gael,,,
Northern,Kidnapping and related offences,2015,4,3,496000,137101,,462,-0.3,1.5,0.726,1.0877,173.6,567.5,,,60,,,15947,4857,Fine Gael,,,
Northern,"Robbery, extortion and hijacking offences",2003,1,26,439600,76927,,,3.5,-0.5,0.6825,1.0807,303.6,177.3,,,,81.1,246714,13504,2571,Fianna F‡il,2076,13.5,
Northern,"Robbery, extortion and hijacking offences",2003,2,28,439600,78418,,,3.5,-0.5,0.7022,1.1663,534.9,207.1,,,,81.1,246714,13504,4827,Fianna F‡il,2076,13.5,
Northern,"Robbery, extortion and hijacking offences",2003,3,17,439600,82115,,,3.5,-0.5,0.6969,1.1222,406.1,190.9,,,,81.1,246714,13504,7996,Fianna F‡il,2076,13.5,
Northern,"Robbery, extortion and hijacking offences",2003,4,22,439600,76250,,,3.5,-0.5,0.702,1.2286,189.3,268.4,,,,81.1,246714,13504,4908,Fianna F‡il,2076,13.5,
Northern,"Robbery, extortion and hijacking offences",2004,1,26,449800,77956,34756,,2.2,4.3,0.6712,1.2262,264.8,256.2,30.2,12.1,,82.6,,13796,2676,Fianna F‡il,1730,13.6,82.8
Northern,"Robbery, extortion and hijacking offences",2004,2,20,449800,75067,34756,,2.2,4.3,0.6643,1.2138,509.1,218.4,30.2,12.1,,82.6,,13796,4719,Fianna F‡il,1730,13.6,82.8
Northern,"Robbery, extortion and hijacking offences",2004,3,24,449800,77614,34756,,2.2,4.3,0.6813,1.2218,393.5,315.5,30.2,12.1,,82.6,,13796,8168,Fianna F‡il,1730,13.6,82.8
Northern,"Robbery, extortion and hijacking offences",2004,4,26,449800,69803,34756,,2.2,4.3,0.695,1.3408,141.7,348.8,30.2,12.1,,82.6,,13796,5056,Fianna F‡il,1730,13.6,82.8
Northern,"Robbery, extortion and hijacking offences",2005,1,13,457500,71688,38016,,2.5,10.4,0.6923,1.3201,203.5,279.5,29.1,13.2,,83.1,,13910,2909,Fianna F‡il,1737,13.4,82.7
Northern,"Robbery, extortion and hijacking offences",2005,2,25,457500,68817,38016,,2.5,10.4,0.669,1.2165,488.7,239.3,29.1,13.2,,83.1,,13910,5130,Fianna F‡il,1737,13.4,82.7
Northern,"Robbery, extortion and hijacking offences",2005,3,13,457500,72136,38016,,2.5,10.4,0.6776,1.2256,335.6,246.3,29.1,13.2,,83.1,,13910,8220,Fianna F‡il,1737,13.4,82.7
Northern,"Robbery, extortion and hijacking offences",2005,4,17,457500,65672,38016,,2.5,10.4,0.6792,1.1856,175.6,321,29.1,13.2,,83.1,,13910,4464,Fianna F‡il,1737,13.4,82.7
